iter	RMSE
0	5682798617
1	5537709860
2	5402623817
3	5261528737
4	5155992907
5	5014852517
6	4872390427
7	4741882687
8	4634342430
9	4532373179
10	4428617337
11	4333741278
12	4249303259
13	4167242030
14	4082424062
15	3976300800
16	3895582847
17	3797185998
18	3724238026
19	3662853077
20	3596141939
21	3520014454
22	3451823137
23	3389166842
24	3313762969
25	3246590191
26	3177759905
27	3114718320
28	3059020465
29	3012626129
30	2964088949
31	2905006455
32	2854239444
33	2797398072
34	2753110767
35	2684693036
36	2645150533
37	2596226967
38	2549802427
39	2504112098
40	2466949376
41	2433198381
42	2403510860
43	2353799675
44	2316563033
45	2288556455
46	2247446908
47	2215099476
48	2187189142
49	2159851740
50	2118496163
51	2085648179
52	2052357960
53	2019499588
54	1983899237
55	1962255076
56	1937339451
57	1902039026
58	1877581668
59	1854373260
60	1827557399
61	1803672815
62	1772204469
63	1747646428
64	1723057051
65	1693485940
66	1665680943
67	1644108315
68	1615440879
69	1597096733
70	1578911142
71	1559510015
72	1537759723
73	1508023056
74	1488523426
75	1462190714
76	1441999379
77	1427393031
78	1403027033
79	1387710443
80	1368527367
81	1350010334
82	1334865039
83	1317965654
84	1301384827
85	1284086325
86	1273193763
87	1258748711
88	1245477363
89	1230710136
90	1216270214
91	1201531959
92	1187198109
93	1168708885
94	1155358274
95	1141536441
96	1127050004
97	1114441670
98	1102363583
99	1087779258
100	1075489466
101	1063607571
102	1052015801
103	1040680239
104	1028579817
105	1017089115
106	1006374623
107	994554819.8
108	982430156.7
109	972629439.4
110	962157876.3
111	949586292.8
112	939269341.8
113	929592522.5
114	918931473.6
115	909150859.5
116	899237264.8
117	890019046.7
118	880202123.6
119	870309564.8
120	861212147
121	850922363.3
122	841650861.6
123	832419218.4
124	822566998.5
125	814104459.1
126	805350174.8
127	796450140.7
128	787538171.4
129	778768470.5
130	769731146.3
131	760652723.8
132	752370128.3
133	742836164.3
134	734157570.2
135	726858505.1
136	719131949.2
137	711836202.8
138	704488539.5
139	696396827.3
140	688674856.2
141	681491525.8
142	673801382.3
143	667089441.9
144	659516668.5
145	651976591.1
146	644762596.2
147	637505395.8
148	630535659.7
149	623554265.7
150	616588555.4
151	609650833.8
152	603045329.9
153	596600361.2
154	590077502.1
155	583803497.4
156	577315388.7
157	571118857.3
158	564845331.2
159	558972747.7
160	553016821.1
161	546626565.2
162	541535688.2
163	535780848.4
164	530189000.7
165	524798267
166	519389335.9
167	513953928.3
168	508661387.7
169	503943837.1
170	498894727.9
171	493949141.7
172	489046178
173	483897314.4
174	479184317.1
175	474488676.1
176	469867525.5
177	464987144.9
178	460519315.5
179	456122737.3
180	451798836.4
181	447598210.5
182	443255332.5
183	438971102.5
184	434771242
185	430641309.9
186	426622076.4
187	422518939.7
188	418687636.4
189	414962112.5
190	411130328.2
191	406651827.7
192	402845376.1
193	399202170.1
194	395537096.1
195	392023831.2
196	388369850
197	384855154
198	380768325.1
199	377467503.8
200	373917300.9
201	370620805.2
202	367107233.6
203	363662786.2
204	360215948.8
205	356513003.5
206	353575809.4
207	350288736.1
208	347528464.1
209	344590869.9
210	341580745.1
211	338251995.2
212	335584047.6
213	332980066.1
214	330138333
215	327263288.5
216	324374130.1
217	321956020.6
218	319248614
219	316414889.4
220	313800188.2
221	311230676.6
222	308264236.2
223	305695733.1
