iter	Passed	Remaining
0	102	51158
1	106	26473
2	111	18522
3	114	14233
4	118	11683
5	121	9994
6	126	8927
7	131	8071
8	136	7447
9	145	7126
10	149	6652
11	153	6248
12	158	5935
13	161	5614
14	164	5328
15	168	5111
16	173	4926
17	175	4708
18	178	4520
19	187	4498
20	191	4357
21	192	4182
22	194	4028
23	203	4043
24	207	3935
25	220	4019
26	225	3958
27	228	3857
28	236	3848
29	242	3797
30	255	3862
31	259	3788
32	274	3888
33	288	3951
34	290	3861
35	292	3765
36	301	3778
37	305	3709
38	308	3649
39	315	3624
40	319	3574
41	323	3528
42	333	3542
43	337	3499
44	338	3425
45	345	3405
46	351	3383
47	354	3339
48	365	3363
49	369	3323
50	372	3277
51	381	3283
52	383	3232
53	387	3204
54	395	3202
55	398	3160
56	403	3137
57	413	3150
58	419	3132
59	425	3121
60	429	3090
61	432	3055
62	435	3020
63	441	3008
64	445	2984
65	448	2952
66	455	2941
67	459	2920
68	464	2901
69	473	2906
70	477	2884
71	483	2873
72	491	2877
73	497	2864
74	503	2853
75	506	2826
76	510	2803
77	514	2782
78	522	2782
79	524	2755
80	527	2730
81	534	2726
82	540	2714
83	544	2696
84	551	2691
85	554	2670
86	555	2638
87	559	2621
88	565	2611
89	569	2595
90	574	2580
91	578	2566
92	584	2556
93	588	2541
94	591	2523
95	598	2518
96	602	2501
97	606	2485
98	609	2467
99	614	2457
100	618	2442
101	624	2435
102	630	2428
103	633	2411
104	636	2395
105	639	2378
106	645	2371
107	648	2354
108	651	2338
109	655	2323
110	661	2317
111	665	2306
112	669	2294
113	676	2289
114	679	2274
115	682	2260
116	685	2245
117	691	2239
118	696	2229
119	700	2217
120	706	2213
121	709	2199
122	713	2187
123	718	2177
124	723	2170
125	727	2160
126	732	2150
127	738	2147
128	742	2134
129	745	2122
130	749	2112
131	755	2107
132	759	2096
133	765	2089
134	769	2079
135	771	2066
136	779	2065
137	787	2065
138	792	2057
139	799	2054
140	802	2044
141	805	2031
142	808	2018
143	814	2014
144	818	2002
145	821	1992
146	826	1984
147	830	1976
148	833	1964
149	837	1954
150	842	1947
151	846	1939
152	850	1928
153	853	1917
154	861	1916
155	864	1906
156	868	1896
157	872	1888
158	876	1880
159	881	1874
160	887	1869
161	893	1864
162	896	1854
163	900	1845
164	906	1841
165	910	1831
166	914	1823
167	918	1814
168	923	1809
169	926	1799
170	930	1790
171	934	1782
172	939	1776
173	944	1769
174	948	1761
175	953	1755
176	957	1747
177	962	1740
178	967	1734
179	971	1726
180	975	1718
181	979	1711
182	983	1704
183	987	1696
184	991	1688
185	996	1681
186	1002	1677
187	1005	1669
188	1008	1659
189	1012	1652
190	1019	1648
191	1022	1640
192	1026	1632
193	1031	1627
194	1035	1620
195	1040	1613
196	1044	1606
197	1049	1600
198	1053	1593
199	1057	1586
200	1062	1581
201	1066	1573
202	1070	1565
203	1074	1559
204	1079	1553
205	1082	1544
206	1085	1536
207	1089	1529
208	1096	1526
209	1100	1519
210	1103	1511
211	1109	1506
212	1113	1499
213	1117	1493
214	1121	1486
215	1126	1481
216	1132	1476
217	1135	1469
218	1141	1465
219	1145	1457
220	1148	1450
221	1152	1443
222	1157	1438
223	1162	1431
224	1166	1425
225	1173	1422
226	1177	1415
227	1181	1409
228	1185	1403
229	1190	1397
230	1193	1389
231	1196	1382
232	1203	1378
233	1207	1372
234	1210	1365
235	1217	1361
236	1221	1355
237	1225	1349
238	1229	1342
239	1234	1337
240	1238	1331
241	1242	1324
242	1249	1321
243	1253	1315
244	1257	1308
245	1262	1303
246	1266	1297
247	1270	1290
248	1280	1290
249	1315	1315
250	1321	1310
251	1329	1308
252	1336	1304
253	1353	1310
254	1361	1308
255	1366	1302
256	1372	1297
257	1379	1293
258	1384	1288
259	1389	1283
260	1394	1277
261	1405	1276
262	1415	1275
263	1419	1268
264	1425	1264
265	1429	1257
266	1432	1250
267	1437	1244
268	1443	1239
269	1446	1232
270	1450	1225
271	1453	1218
272	1460	1214
273	1464	1207
274	1467	1200
275	1471	1194
276	1476	1188
277	1480	1182
278	1484	1175
279	1489	1170
280	1491	1162
281	1495	1156
282	1499	1149
283	1503	1143
284	1506	1136
285	1510	1130
286	1514	1123
287	1520	1119
288	1524	1113
289	1527	1106
290	1531	1099
291	1536	1094
292	1540	1088
293	1545	1082
294	1550	1077
295	1553	1070
296	1557	1064
297	1561	1058
298	1567	1053
299	1571	1047
300	1575	1041
301	1580	1036
302	1583	1029
303	1588	1024
304	1592	1018
305	1599	1013
306	1603	1008
307	1607	1002
308	1612	996
309	1615	990
310	1618	983
311	1621	977
312	1625	970
313	1630	966
314	1634	960
315	1638	953
316	1641	947
317	1646	942
318	1650	936
319	1653	930
320	1656	923
321	1662	918
322	1666	913
323	1670	907
324	1676	902
325	1680	896
326	1683	890
327	1688	885
328	1693	880
329	1697	874
330	1700	868
331	1705	863
332	1709	857
333	1713	851
334	1716	845
335	1721	840
336	1725	834
337	1729	829
338	1733	823
339	1739	818
